S,D,art_year,art_id
obstructive sleep apnoea syndrome,sympathetic activity,1994,104009
desbuquois syndrome,joint laxity,1994,103849
guidelines,sleep apnea syndromes,1994,104070
acceptance,sleep apnea syndrome,1994,104591
cardiovascular disease,sleep,1994,104579
enteral nutrition,sleep,1994,104120
obstructive sleep apnoea,women,1994,125364
death,sleep,1994,104532
diagnosis,equipment and supplies,1994,104070
pathophysiology,sleep apnoea,1994,104041
arousal response,sympathetic nerve,1994,104510
atrial natriuretic peptide,sleep deprivation,1994,104629
cardiovascular risk,clinical epidemiology,1994,104535
hypokalemia,sleep apnea syndrome,1994,104050
daytime sleepiness,snoring,1994,104544
apnea,respiratory arrest,1994,104092
flow limitation,nose breathing,1994,97398
cpap,postoperative respiratory compromise,1994,104625
insomnia,multiple sclerosis,1994,104607
laser surgery,sleep,1994,103782
bilevel positive airway pressure,neurofibromatosis,1994,104085
cognitive function,snoring,1994,104538
cerebrospinal fluid,interleukinl,1994,104105
acceptance,nasal continuous positive airway pressure,1994,104591
icd,icsd,1994,103798
questionnaire,validation,1994,104571
charge association,congenital pharyngeal stenosis,1994,104631
equipment and supplies,polysomnography,1994,104070
atrial natriuretic peptide,plasma renin activity,1994,104629
anesthetics,thiopentone,1994,104564
obstructive sleep apnea,resting metabolic rate,1994,125375
sleep apnoea syndromes,snoring,1994,104049
electromyography,larynx,1994,97395
respiration,sleep,1994,104516
nocturia,obstructive sleep apnea,1994,125375
obesity hypoventilation,papillary conjunctivitis,1994,104031
insulin,lipid,1994,104073
hypomyelination,sleep apnea,1994,104096
control of breathing,hypoglossal motoneuron,1994,103860
sleep apnea syndromes,sleep disorders,1994,104070
calcification,cardiac failure,1994,104094
genioglossus muscle,upper airway patency,1994,104558
costutility analysis,sleep apnea,1994,104551
genioglossus muscle,intercostal muscle,1994,104558
hypoxia,mean arterial pressure,1994,104629
occlusion pressure,ventilatory drive,1994,104062
arousal,rapideyemovement sleep,1994,104628
microdialysis,pons,1994,103860
mesam ,snoring,1994,103800
apnea,trachea,1994,104092
infants,obstructive apneas,1994,104532
mask pressure,supralaryngeal resistance,1994,97379
chronic inflammatory demyelinating polyradiculoneuropathy,morphometry,1994,104124
mean arterial pressure,nonrapideyemovement sleep,1994,104629
active sleep,rem sleep,1994,104610
apnea,sleep apnea,1994,104096
alveolar hypoventilation,obesity,1994,104561
eccentric contraction,fiber types,1994,104565
heart rate,osaturation,1994,104067
cardiac cardiopulmonary bypass,surgery,1994,104123
sudden infant death,ventilatory dysfunction,1994,104096
arousal,hypoxia,1994,104628
polysomnography,sleep apnea syndromes,1994,104070
postoperative,sleep apnea syndromes,1994,104604
durable medical equipment,sleep disorders,1994,104070
sleep apnea syndrome,split night polysomnography,1994,104591
sleep,sleep apnea syndromes,1994,104070
death,infants,1994,104532
death,polysomnography,1994,104532
apnea,ondines curse,1994,104107
apert syndrome,charge association,1994,104631
dsmiv,insomnia,1994,103798
cardiac function,obstructive sleep apnea,1994,97385
intravenous tubing,methods development,1994,99584
pulse transit time,sleep apnoea,1994,104515
breathing bear,quiet sleep respiration,1994,104113
glucose,insulin secretion rate,1994,104120
arousal,hypoxia,1994,104629
blood pressure,echocardiography,1994,104037
heart rate,mesam ,1994,103800
aortopexy,feeding difficulties,1994,104092
cardiac function,hemodynamics,1994,97385
aortopexy,respiratory arrest,1994,104092
cerebellum,ventral medulla,1994,104107
lefort osteotomy,sleep apnea,1994,104045
physician education,sleep,1994,104116
echocardiography,hypertension,1994,104037
central respiratory control,sleep apnea,1994,104107
papillary conjunctivitis,reperfusion injury,1994,104031
acute mountain sickness,high altitude,1994,103808
guidelines,sleep disorders,1994,104070
achondroplasia,posterior fossa decompression,1994,104082
entrainment,prematures,1994,104113
arousal,blood pressure,1994,104515
enteral nutrition,glucose,1994,104120
automatic ambulatory screening,mesam ,1994,103800
guidelines,physiologic,1994,104070
intravenous tubing,sleep,1994,104553
brain magnetic resonance imaging,multiple sclerosis,1994,104607
hypoglossal motoneuron,microdialysis,1994,103860
intercostal muscle,upper airway patency,1994,104558
obstructive apneas,sleep,1994,104532
quality assessment,video observation,1994,103763
apnea,skeletal surgery,1994,104595
surgery,ventilationperfusion,1994,104123
arrhythmia,morbidity,1994,104613
arousals,cheynestokes respiration,1994,104109
nocturia,obesity,1994,104112
glucose metabolism,sleep apnea,1994,104535
physiologic,sleep,1994,104070
heart rate,nonrapideyemovement sleep,1994,97392
active sleep,obstructive apnea,1994,104610
apnea,cerebellum,1994,104107
obstructive sleep apnea,surgical treatment,1994,104522
sleep apnoea syndrome,snoring,1994,104072
cardiovascular risk,hour ambulatory blood pressure measurement,1994,97390
newborn,serotonin,1994,104624
sleep apnea syndromes,surgical stress,1994,104604
cardiac function,obstructive sleep apnea,1994,104550
nocturia,resting metabolic rate,1994,104112
intracranial pressure,sleepapneasyndrome,1994,104525
quality adjusted life years,sleep apnea,1994,104551
eccentric contraction,myosin heavy chain,1994,97387
sleepiness,snoring,1994,103857
automatic ambulatory screening,obstructive sleep apnoea,1994,103800
bradycardia,obstructive sleep apnoea syndrome,1994,104009
rem sleep hypertension,sleep apnea,1994,97389
diaphragm,nonrapideyemovement sleep,1994,97399
nocturnal positive pressure therapy,sleep apnea,1994,104584
cortisol,rapid eyemovement sleep,1994,104629
obstructive sleep apnea,sympathetic nervous system,1994,104586
epilepsy,sleep,1994,104527
down syndrome,macroglossia,1994,103864
coronary artery disease,snoring,1994,99585
obstructive sleep apnoea,respiratory disturbance index,1994,125364
monitoring,outcome and process assessment,1994,104070
obstructive sleep apnea syndrome,traffic accidents,1994,104560
cervical kyphosis,short stature,1994,103849
active sleep,hyperthermia,1994,104610
blood drawing,intravenous tubing,1994,99584
obesity,snoring,1994,104561
quiet sleep respiration,stimulation,1994,104113
breathing bear,quiet sleep respiration,1994,104113
mesam,obesity,1994,125364
heart rate,plasma renin activity,1994,97392
gender,hypothyroidism,1994,104520
receiver operating characteristics,sensitivity,1994,104580
cardiac failure,iron encrustation,1994,104094
apnoea,general movements,1994,103763
glucose,sleep,1994,104120
soft palate,upper airway,1994,104121
haemorrhage,postoperative,1994,104523
heart rate,plasma renin activity,1994,104629
alveolar hypoventilation,sleep apnea syndrome,1994,104561
cervical decompression,sleep apnoea,1994,104035
floppy eyelid syndrome,obesity hypoventilation,1994,104031
brainstem development,sleep apnea,1994,104107
sleep apnea syndromes,sleep disorders,1994,103782
hydrocephalus,sleepapneasyndrome,1994,104525
apnoea,respiration,1994,104067
mixed apnea,rem sleep,1994,104563
mixed apnea,severity criteria,1994,104563
ncpap,uvulopalatopharyngoplasty,1994,104075
prematures,stimulation,1994,104113
surgery uvulopalatopharyngoplasty,thiopentone,1994,104564
antihypertensive treatment,sleep apnea,1994,104620
recovery assessment,thiopentone,1994,104564
polysomnography,sudden infant death syndrome,1994,104532
morbidity,sudden cardiac death,1994,104613
crouzon disease,sleep apnea,1994,104045
medroxyprogesterone,sleep apnea,1994,104537
guidelines,outcome and process assessment,1994,104070
periodic leg movements,sleep,1994,104527
dynamic closure,mechanical properties,1994,97398
heart disease,snoring,1994,104073
nocturia,obstructive sleep apnea,1994,104112
prone sleeping,sudden infant death,1994,104096
control of breathing,sleep states,1994,104559
obstructive sleep apnoea,positivepressurerespiration,1994,104075
haemorrhage,postoperative breathing difficulties,1994,104523
inhibitory memory,neuromechanical inhibition,1994,97397
sleep apnea,sudden infant death syndrome,1994,104107
chronic inflammatory demyelinating polyradiculoneuropathy,recurrent nerve palsy,1994,104124
blood drawing,methods development,1994,99584
polysomnography,sleep apnea syndrome,1994,104561
gender,obstructive sleep apnoea,1994,104520
hydrocephalus,polysomnography,1994,104525
apnea,ventral medulla,1994,104107
breathing bear,prematures,1994,104113
blood pressure,sleep,1994,104515
charge association,choanal atresia,1994,104631
newborn,obstructive apnea,1994,104624
feeding difficulties,infant,1994,104092
cephalometry,profilogram,1994,104555
autonomic dysfunction,prone sleeping,1994,104096
sleep apnea syndrome,upper airway,1994,103860
daytime sleepiness,sleep apnea syndrome,1994,104544
apnea,sudden infant death syndrome,1994,104107
cerebellum,sleep apnea,1994,104107
desbuquois syndrome,short stature,1994,103849
clinical epidemiology,sleep apnea,1994,104535
control of breathing,pons,1994,103860
cheynestokes respiration,periodic breathing,1994,104103
electromyogram,upper airway,1994,104121
atrial natriuretic peptide,nonrapideyemovement sleep,1994,104629
infant sleep apnoea,repeated hypoxic events,1994,104030
apnea,sleep,1994,104630
electromyogram,obstructive sleep apnea,1994,104583
floppy eyelid syndrome,sleep apnea,1994,104031
achondroplasia,apnea,1994,104595
consultants,tonsillectomy,1994,104097
cilazapril,hour ambulatory blood pressure measurement,1994,104620
cephalometry,pas,1994,104555
infant,trachea,1994,104092
cor pulmonale,obesity,1994,104625
gastroesophageal reflux,scleroderma,1994,104589
arousal,mean arterial pressure,1994,97392
dynamic closure,nose breathing,1994,104111
obesity,respiratory disturbance index,1994,104061
respiratory chemosensors,sleep apnea,1994,104107
atrial natriuretic peptide,hypoxia,1994,104629
blood pressure,obesity,1994,104048
practice guidelines,sleep apnea syndromes,1994,104070
achondroplasia,cervicomedullary junction,1994,104082
infant,innominate artery compression,1994,104092
diagnosis,outcome and process assessment,1994,104070
rem sleep,sleep apnea syndrome,1994,103860
clinical epidemiology,glucose metabolism,1994,104535
mechanical properties,mechanical ventilation,1994,97398
ondines curse,sleep apnea,1994,104107
intravenous propofol,thiopentone,1994,104564
atrial natriuretic peptide,mean arterial pressure,1994,104629
apnea,electroencephalogram,1994,104626
shydrager syndrome,sleep apnea,1994,103768
chemiluminescence,palmoplantar pustulosis,1994,104611
cervical decompression,cervical stenosis,1994,104035
craniofacial anomalies,postoperative respiratory compromise,1994,104625
auditory brainstem responses,sleep apnoea syndrome,1994,104072
lung gas exchange,measurement techniques multiple inert gas elimination,1994,104123
cardiovascular disease,national health interview survey,1994,104579
entrainment,sleep states,1994,104113
hypomyelination,prone sleeping,1994,104096
entrainment,stimulation,1994,104113
sustained hypoxia,upper airway muscles,1994,104583
rapid eyemovement sleep,sleep deprivation,1994,97392
catecholamines,obstructive sleep apnoea syndrome,1994,104009
cardiac failure,cheynestokes respiration,1994,104109
apnoea,sleep,1994,103763
movement quality assessment,repeated hypoxic events,1994,104030
duchenne muscular dystrophy,sleep,1994,104114
anaemia,sickle cell,1994,104524
cardiac cardiopulmonary bypass,lung gas exchange,1994,104123
coronary artery disease,snoring,1994,104581
methods development,sleep,1994,99584
obesity,women,1994,104061
apneas,autonomic nervous system,1994,104532
keratoconus,sleep apnea,1994,104031
closing pressure,flow limitation,1994,104111
breathing arrests,sleep apnea syndrome,1994,104544
allergy,apneas,1994,104532
evaluation,sleep apnea,1994,104551
nasal continuous positive airway pressure,split night polysomnography,1994,104591
endothelial dystrophy,sleep apnea,1994,104031
postoperative,uvulopalatopharyngoplasty,1994,104523
glaucoma,nasal continuous positive airway pressure,1994,103785
auditory brainstem responses,respiratory insufficiency,1994,104072
laryngomalacia,obstructive sleep apnea,1994,104054
pons,rem sleep,1994,103860
cortisol,plasma renin activity,1994,97392
obstructive apnea,rem sleep,1994,104610
eccentric contraction,muscle injury,1994,97387
cpap,hypotonia,1994,104625
laser surgery,practice guidelines,1994,103782
prematures,respiration,1994,104113
apnea,cigarette,1994,104585
practice guidelines,sleep apnea syndromes,1994,103782
mesam,respiratory disturbance index,1994,104061
mesam,respiratory disturbance index,1994,125364
allergy,sleep,1994,104532
circadian rhythm,hypoxia,1994,104048
brief versus prolonged hypocapnia,vagal blockade,1994,104101
sleep apnoea,snoring,1994,104044
arcuate nucleus,hypomyelination,1994,104096
sleep apnea,snoring,1994,104579
heart failure,respiration,1994,104512
cheynestokes,heart failure,1994,104512
sensitivity,specificity,1994,104580
hemoglobin saturation,nonrapideyemovement sleep,1994,104628
endotracheal tube,hypoxia,1994,97391
ondines curse,respiratory chemosensors,1994,104107
autonomic nervous system,obstructive apneas,1994,104532
adult,ncpap,1994,104075
outcome and process assessment,sleep disorders,1994,104070
calcification,pulmonary elastin,1994,104094
respiratory insufficiency,sleep apnoea syndrome,1994,104072
marine mammals,sleep apnea,1994,104575
automated formula dispenser,nocturia,1994,125375
compliance,sleep apnea syndrome,1994,104591
heart rate,hypoxia,1994,97392
obstructive sleep apnea,sustained hypoxia,1994,104583
prematures,sleep states,1994,104113
cheynestokes respiration,congestive heart failure,1994,104103
blood pressure,sleep apnoea,1994,104048
apnea,sleep apnea,1994,104107
hypoxemia,snoring,1994,104544
co response curve,minute ventilation,1994,104618
heart rate,mean arterial pressure,1994,97392
intraocular pressure,obstructive sleep apnoea syndrome,1994,103785
floppy eyelid syndrome,keratoconus,1994,104031
postoperative,surgical stress,1994,104604
obesity,obstructive sleep apnea,1994,125375
hypertension,obesity,1994,104535
outcome and process assessment,sleep,1994,104070
sleep,sudden infant death syndrome,1994,104532
prematures,respiration regularity,1994,104113
diaphragm,nonrapideyemovement sleep,1994,104121
respiration,sleep analysis,1994,104067
diagnosis,polysomnography,1994,104070
sleep,sudden infant death,1994,104585
sleep apnoea,spondyloepimetaphyseal dysplasia,1994,103849
mechanical ventilation,nose breathing,1994,104111
cyanosis,trachea,1994,104092
sleep apnea syndromes,surgery,1994,104604
apnea termination,sleep apnea,1994,104582
adult,positivepressurerespiration,1994,104075
electromyography,larynx,1994,104099
magnetic resonance imaging,respiratory failure,1994,104083
atrial natriuretic peptide,cortisol,1994,104629
breathing bear,prematures,1994,104113
intercostal muscle,sleep apnea syndrome,1994,104558
heart disease,insulin,1994,104073
atrial natriuretic peptide,heart rate,1994,97392
acute mountain sickness,sleep desaturation,1994,103808
infant sleep apnoea,movement quality assessment,1994,104030
hypoxia,nonrapideyemovement sleep,1994,97392
circadian rhythm,obesity,1994,104048
cervical kyphosis,joint laxity,1994,103849
repeated hypoxic events,sudden infant death,1994,104030
anesthetics,surgery uvulopalatopharyngoplasty,1994,104564
cardiovascular risk,cilazapril,1994,104620
mesam,women,1994,104061
breathing bear,respiration regularity,1994,104113
breathing bear,stimulation,1994,104113
cataplexy,validation,1994,104571
obesity,women,1994,125364
durable medical equipment,sleep apnea syndromes,1994,104070
cardiovascular reflexes,sympathetic activity,1994,104009
blood pressure,hypertension,1994,104037
hemoglobin saturation,rapideyemovement sleep,1994,104628
arousal,sleep,1994,104515
diagnosis,practice guidelines,1994,104070
echocardiography,sleep apnoea syndromes,1994,104037
sensitivity,sleep apnea,1994,104580
breathing bear,prematures,1994,104113
quiet sleep respiration,respiration,1994,104113
polysomnography,resting metabolic rate,1994,104112
morphometry,primary alveolar hypoventilation,1994,104124
apneahypopnea index,hypoxemia,1994,104544
flow limitation,negative pressure ventilation,1994,104111
arousal response,sleep apnea,1994,104510
sickle cell,tonsillitis,1994,104524
hypoxemia,sleep apnea syndromes,1994,104604
cortisol,hypoxia,1994,104629
maxillomandibular advancement,obstructive sleep apnea,1994,104522
microdialysis,serotonin,1994,103860
obesity,sleep apnea syndrome,1994,104561
nighteating,polysomnography,1994,125375
dynamic closure,flow limitation,1994,104111
epiglottis,obstructive sleep apnea,1994,104052
recovery assessment,surgery uvulopalatopharyngoplasty,1994,104564
guidelines,practice guidelines,1994,104070
nasal continuous positive airway pressure,obstructive sleep apnoea syndrome,1994,103785
mesam,women,1994,125364
obesity,obstructive sleep apnea,1994,104112
antihypertensive treatment,hour ambulatory blood pressure measurement,1994,97390
infant,obstructive apnea,1994,104630
arousal,heart rate,1994,97392
females,saudi arabia,1994,104547
obstructive sleep apnoea syndrome,uvulopalatopharyngoplasty,1994,104523
intervention,respiration,1994,104113
breathing bear,respiration,1994,104113
psychosocial out comes,sleepiness,1994,104579
polysomnography,practice guidelines,1994,104070
acidbase balance,endtidal co,1994,104618
muscle disease,sleep,1994,104114
methods development,sleep,1994,125371
electromyogram,upper airway muscles,1994,104583
mixed apnea,sleep apnea syndrome,1994,104563
microneurography,sleep apnea,1994,104510
practice guidelines,sleep disorders,1994,104070
arousal,atrial natriuretic peptide,1994,97392
feeding difficulties,respiratory arrest,1994,104092
mean arterial pressure,nonrapideyemovement sleep,1994,97392
sleep stage,upper airway patency,1994,104558
clinical epidemiology,obesity,1994,104535
apnea,respiratory chemosensors,1994,104107
polysomnography,sleepapneasyndrome,1994,104525
respiration,respiration regularity,1994,104113
respiratory insufficiency,snoring,1994,104072
severity criteria,sleep apnea syndrome,1994,104563
genioglossus muscle,hypoglossal nucleus,1994,104598
automated formula dispenser,obstructive sleep apnea,1994,104112
automated formula dispenser,nighteating,1994,125375
innominate artery compression,respiratory arrest,1994,104092
questionnaire,specificity,1994,104580
arousal,nonrapideyemovement sleep,1994,104628
obesity,weight reduction,1994,104058
mask pressure,sleep apnea hypopnea,1994,97379
antihypertensive treatment,cilazapril,1994,97390
antihypertensive treatment,sleep apnea,1994,97390
joint laxity,spondyloepimetaphyseal dysplasia,1994,103849
antihypertensive treatment,nocturnal hypertension,1994,97390
bipolar diathermy,complications,1994,104623
obesity,weight reduction surgery,1994,104533
psychosocial out comes,sleep apnea,1994,104579
antidromic activation,genioglossus muscle,1994,104598
arousals,cardiac failure,1994,104109
polysomnography recordings,severity criteria,1994,104563
fatigue,sleepiness,1994,103857
outcome and process assessment,sleep disorders,1994,104070
prematures,respiration regularity,1994,104113
polysomnography,sleep,1994,103782
congestive heart failure,sleep,1994,104103
brainstem tumor,ventilatory control,1994,104083
obstructive apnea,sleep deprivation,1994,104610
allergy,polysomnography,1994,104532
mean arterial pressure,sleep deprivation,1994,97392
obesity,polysomnography,1994,104561
hypoxia,nonrapideyemovement sleep,1994,104628
quality assessment,sleep,1994,103763
posterior fossa decompression,sleep apnea,1994,104082
icsd,insomnia,1994,103798
cardiovascular reflexes,obstructive sleep apnoea syndrome,1994,104009
anesthetics,recovery assessment,1994,104564
joint dislocation,sleep apnoea,1994,103849
breathing bear,prematures,1994,104113
cortisol,nonrapideyemovement sleep,1994,104629
scale,validation,1994,104571
apneas,sudden infant death syndrome,1994,104532
obstructive sleep apnea,sympathetic nervous system,1994,97388
nasal cpap,obstructive sleep apnoea syndrome,1994,104062
infants,sleep,1994,104532
quiet sleep respiration,respiration regularity,1994,104113
cardiovascular risk,cilazapril,1994,97390
prematures,sleep states,1994,104113
automatic ambulatory screening,snoring,1994,103800
microdialysis,upper airway,1994,103860
microneurography,sympathetic nerve,1994,104510
pons,sleep apnea syndrome,1994,103860
arousal effects,inhibitory vagal memory,1994,104101
hypothyroidism,obstructive sleep apnoea,1994,104520
mechanical ventilation,negative pressure ventilation,1994,104111
nocturia,resting metabolic rate,1994,125375
prematures,quiet sleep respiration,1994,104113
cerebellum,respiratory chemosensors,1994,104107
choanal atresia,craniofacial anomalies,1994,104631
carbon dioxide,cheynestokes respiration,1994,104103
positivepressurerespiration,uvulopalatopharyngoplasty,1994,104075
psychosocial out comes,snoring,1994,104579
questionnaire,sensitivity,1994,104580
closing pressure,mechanical properties,1994,97398
cyanosis,stridor,1994,104092
prematures,sleep states,1994,104113
physician education,sleep disorders,1994,104116
cervical kyphosis,joint dislocation,1994,103849
heart failure,mortality,1994,104512
prone sleeping,ventilatory dysfunction,1994,104096
apnea,innominate artery compression,1994,104092
neuropathology,sleep apnea,1994,104096
longterm study,natural history,1994,103802
genioglossus muscle,nucleus raphe magnus,1994,104598
apnoea,heart rate,1994,104067
physiologic,practice guidelines,1994,104070
acute respiratory failure,sleep apnoea syndrome,1994,104060
nonrapideyemovement sleep,upper airway,1994,97399
flow limitation,nose breathing,1994,104111
gender,obesity,1994,104520
breathing bear,prematures,1994,104113
echocardiography,left ventricle,1994,104037
gastroesophageal reflux,h esophageal ph monitoring,1994,104589
hypoxemia,sleep apnea syndrome,1994,104544
hyperthermia,obstructive apnea,1994,104610
control of breathing,upper airway,1994,103860
chronic inflammatory demyelinating polyradiculoneuropathy,sural nerve,1994,104124
cor pulmonale,cpap,1994,104625
excessive daytime sleepiness,key words snoring,1994,104560
continuous arterial pressure measurement,sleep apnea,1994,97389
fiber types,fibrosis,1994,97387
glucose,ultradian rhythm,1994,104120
sleep,sleep apnea,1994,104527
mesam ,obstructive sleep apnoea,1994,103800
cephalometry,laser uppp,1994,104546
apnea,hypoxanthine,1994,104105
autonomic dysfunction,sudden infant death,1994,104096
sleep disorders,snoring,1994,103782
durable medical equipment,monitoring,1994,104070
apnea,feeding difficulties,1994,104092
hypoglossal motoneuron,pons,1994,103860
prematures,sleep states,1994,104113
physiologic,sleep apnea syndromes,1994,104070
obesity,obstructive sleep apnoea,1994,104520
hypertension,left ventricular hypertrophy,1994,104037
hemoglobin saturation,hypoxia,1994,104628
dynamic closure,nose breathing,1994,97398
innominate artery compression,trachea,1994,104092
obstructive sleep apnoea,snoring,1994,104056
cyanosis,feeding difficulties,1994,104092
coronary artery disease,sleep apnea,1994,99585
cognitive function,hypersomnia,1994,104538
hypoxia,mean arterial pressure,1994,97392
breathing arrests,snoring,1994,104544
arousal,heart rate,1994,104629
adult,uvulopalatopharyngoplasty,1994,104075
recurrent nerve palsy,sural nerve,1994,104124
pulse transit time,sleep,1994,104515
hypoxia,rapideyemovement sleep,1994,97391
circadian rhythm,sleep apnoea,1994,104048
hypoxic vasoconstriction,pulmonary artery pressure,1994,103769
hyperthermia,meperidine,1994,104610
blood brain barrier,interleukinl,1994,104105
hypoxic ventilatory response,sleep desaturation,1994,103808
fatigue,weight reduction,1994,103857
monitoring,sleep apnea syndromes,1994,104070
sleep apnea syndrome,snoring,1994,104544
diagnosis,sleep apnea syndromes,1994,104070
eccentric contraction,myosin heavy chain,1994,104565
analgesia patientcontrolled,pain postoperative,1994,104029
cardiovascular risk,sleep apnea,1994,97390
glaucoma,obstructive sleep apnoea syndrome,1994,103785
questionnaire,sleep apnea,1994,104580
electromyogram,sustained hypoxia,1994,104583
obesity,obstructive sleep apnoea,1994,125364
endotracheal tube,hypoxia,1994,104628
breathing bear,entrainment,1994,104113
closing pressure,mechanical properties,1994,104111
outcome and process assessment,sleep apnea syndromes,1994,104070
obstructive sleep apnea,predictive model,1994,104546
co response curve,endtidal co,1994,104618
sleep apnea,sympathetic nerve,1994,104510
pas,profilogram,1994,104555
receiver operating characteristics,specificity,1994,104580
ondines curse,sudden infant death syndrome,1994,104107
aortopexy,stridor,1994,104092
closing pressure,negative pressure ventilation,1994,97398
apnea,arcuate nucleus,1994,104107
complications,tonsillectomy,1994,104623
intercostal muscle,sleep stage,1994,104558
cardiovascular reflexes,sympathetic activity,1994,104599
breathing bear,intervention,1994,104113
central apnoea,paraneoplastic,1994,103823
obstructive sleep apnoea,women,1994,104061
hypoxanthine,sudden infant death syndrome,1994,104105
objective measurement,perception,1994,104602
mean arterial pressure,rapid eyemovement sleep,1994,104629
arousal,hypoxia,1994,97392
practice guidelines,snoring,1994,103782
cardiovascular risk,nocturnal hypertension,1994,104620
cardiovascular disease,snoring,1994,104579
duchenne muscular dystrophy,polysomnography,1994,104114
mean arterial pressure,rapid eyemovement sleep,1994,97392
metabolic alkalosis,primary aldosteronism,1994,104050
brain magnetic resonance imaging,insomnia,1994,104607
prematures,quiet sleep respiration,1994,104113
brainstem development,ventral medulla,1994,104107
diaphragm,electromyogram,1994,104121
multiple sclerosis,periodic leg movements,1994,104607
autoresuscitation,hypoxanthine,1994,104105
endothelial dystrophy,reperfusion injury,1994,104031
cortisol,sleep deprivation,1994,104629
monitoring,sleep,1994,104070
autonomic nervous system,infants,1994,104532
fatigue,snoring,1994,103857
sleep apnea,sudden infant death,1994,104096
arousal,hemoglobin saturation,1994,104628
keratoconus,obesity hypoventilation,1994,104031
hypoxic ventilatory depression,sustained hypoxia,1994,104583
obstructive sleep apnoea,snoring,1994,103800
blood drawing,sleep,1994,99584
sleep apnea,specificity,1994,104580
blood brain barrier,hypoxanthine,1994,104105
sleep apnea,ventilatory dysfunction,1994,104096
nocturnal hypertension,sleep apnea,1994,104620
ethanol,sleep apnea,1994,104537
blood pressure,left ventricular hypertrophy,1994,104037
nasal continuous positive airway pressure,sleep apnea syndrome,1994,104591
sleep fragmentation,sleep quality,1994,103795
joint dislocation,joint laxity,1994,103849
alveolar hypoventilation,polysomnography,1994,104561
arcuate nucleus,cerebellum,1994,104107
national health interview survey,sleep apnea,1994,104579
children,obstructive sleep apnoea,1994,104074
diagnosis,sleep disorders,1994,104070
osaturation,polysomnography,1994,104067
anesthetics,recovery assessment,1994,104564
cortisol,nonrapideyemovement sleep,1994,97392
brainstem development,respiratory chemosensors,1994,104107
serotonin,sleep apnea syndrome,1994,103860
posterior fossa decompression,quadriplegia,1994,104082
breathing bear,prematures,1994,104113
diagnosis techniques,polysomnography,1994,104517
hour ambulatory blood pressure measurement,sleep apnea,1994,104620
child,tonsillectomy,1994,104097
apnea,infant,1994,104630
durable medical equipment,sleep disorders,1994,104070
polysomnography,sleep disorders,1994,103782
nighteating,resting metabolic rate,1994,104112
sleep,sleep disorders,1994,103782
cervical kyphosis,spondyloepimetaphyseal dysplasia,1994,103849
breathing arrests,hypercapnia,1994,104544
diaphragm,soft palate,1994,104121
continuous arterial pressure measurement,rem sleep hypertension,1994,104597
cardiovascular risk,sleep apnea,1994,104535
automated formula dispenser,resting metabolic rate,1994,125375
cardiovascular reflexes,osas,1994,104599
dsmiv,icsd,1994,103798
cataplexy,questionnaire,1994,104571
diaphragm,soft palate,1994,97399
hour ambulatory blood pressure measurement,nocturnal hypertension,1994,104620
soft palate,upper airway,1994,97399
obesity hypoventilation,sleep apnea,1994,104031
hypoxanthine,interleukinl,1994,104105
intravenous propofol,volatile isoflurane,1994,104564
control of breathing,sleep states,1994,97386
antihypertensive treatment,nocturnal hypertension,1994,104620
closing pressure,dynamic closure,1994,104111
apnoea,diagnosis techniques,1994,104517
interleukinl,sudden infant death syndrome,1994,104105
autoresuscitation,sudden infant death syndrome,1994,104105
durable medical equipment,guidelines,1994,104070
guidelines,sleep disorders,1994,104070
nonrapideyemovement sleep,sleep deprivation,1994,97392
central sleep apnea,mortality,1994,104512
cheynestokes,respiration,1994,104512
narcolepsy,questionnaire,1994,104571
sudden infant death,video observation,1994,103763
endothelial dystrophy,keratoconus,1994,104031
congestive heart failure,periodic breathing,1994,104103
cpap,obesity,1994,104625
gender,partial obstruction,1994,104520
apneas,breathholding spells,1994,104532
apnoea,quality assessment,1994,103763
surgery,surgical stress,1994,104604
apnea,brainstem development,1994,104107
nitrazepam,sleep apnoea,1994,103764
mixed apnea,polysomnography recordings,1994,104563
mechanoreceptor feedback,neuromechanical inhibition,1994,104102
chemiluminescence,tonsillitis,1994,104611
enteral nutrition,insulin secretion rate,1994,104120
arcuate nucleus,sleep apnea,1994,104096
screening,sleep apnoea,1994,104044
hemodynamics,obstructive sleep apnea,1994,104550
oxyhemoglobin saturation,sleep,1994,104117
compliance,ncpap,1994,104075
apneahypopnea index,hypercapnia,1994,104544
apert syndrome,choanal atresia,1994,104631
apert syndrome,lefort osteotomy,1994,104045
mechanical properties,negative pressure ventilation,1994,104111
fiber types,fibrosis,1994,104565
postoperative,surgery,1994,104604
inhibitory memory,mechanoreceptor feedback,1994,97397
monitoring,sleep disorders,1994,104070
cpap,craniofacial anomalies,1994,104625
sleep,sudden infant death,1994,103763
electromyography,polysomnogram,1994,104099
atrial natriuretic peptide,plasma renin activity,1994,97392
icd,insomnia,1994,103798
plasma renin activity,rapid eyemovement sleep,1994,104629
sleep apnea syndrome,upper airway,1994,104592
cardiac failure,pulmonary elastin,1994,104094
brief versus prolonged hypocapnia,inhibitory vagal memory,1994,104101
key words snoring,traffic accidents,1994,104560
cephalometry,mller maneuver,1994,104546
equipment and supplies,sleep,1994,104070
equipment and supplies,monitoring,1994,104070
cardiovascular reflexes,nocturnal hypertension,1994,104599
ethanol,medroxyprogesterone,1994,104537
blood pressure,pulse transit time,1994,104515
innominate artery compression,stridor,1994,104092
